question,answer
What is the return policy of the products?,You can return products within 30 days of delivery.
Do I get discount with the HDFC credit card?,"Yes, HDFC credit card users get a 10% discount on select items."
How can I track my order?,You can track your order using the tracking link sent to your email.
What payment methods are accepted?,"We accept credit/debit cards, net banking, UPI, and cash on delivery."
How long does it take to process a refund?,Refunds are processed within 5-7 business days after the return is received.
Are there any ongoing sales or promotions?,"Yes, check our 'Deals' section for ongoing sales and discounts."
Can I cancel or modify my order after placing it?,You can cancel or modify your order within 1 hour of placing it.
Do you offer international shipping?,"Yes, we offer international shipping to select countries."
What should I do if I receive a damaged product?,Contact our support team within 48 hours for a replacement or refund.
How do I use a promo code during checkout?,Enter your promo code in the designated field during checkout.
What is the return policy of the products?,You can return products within 30 days of delivery.
Do I get discount with the HDFC credit card?,Yes HDFC credit card users get a 10% discount on select items.
How can I track my order?,You can track your order using the tracking link sent to your email.
What payment methods are accepted?,We accept credit/debit cards net banking UPI and cash on delivery.
How long does it take to process a refund?,Refunds are processed within 5-7 business days after the return is received.
Are there any ongoing sales or promotions?,Yes check our 'Deals' section for ongoing sales and discounts.
Can I cancel or modify my order after placing it?,You can cancel or modify your order within 1 hour of placing it.
Do you offer international shipping?,Yes we offer international shipping to select countries.
What should I do if I receive a damaged product?,Contact our support team within 48 hours for a replacement or refund.
How do I use a promo code during checkout?,Enter your promo code in the designated field during checkout.
What is Flipkart's exchange policy?,You can exchange products within 10 days of delivery for eligible items.
Is there a delivery charge on all orders?,No we offer free delivery on orders above a certain value. Check the product page for details.
How can I contact customer support?,You can reach our 24/7 support team via the 'Help Center' on our website or app.
What does 'Out of Stock' mean?,It means the product is currently unavailable for purchase. You can check back later or look for similar items.
How do I create a wishlist?,Click the 'Add to Wishlist' button on any product page to save items for later.
Can I change my delivery address after ordering?,You can change your delivery address only before your order has been shipped.
What is the validity period of a gift card?,Flipkart gift cards are typically valid for 12 months from the date of issuance.
Do I need an account to shop on Flipkart?,Yes you need an account to place an order and manage your purchases.
How do I reset my account password?,Click 'Forgot Password?' on the login page and follow the instructions sent to your email.
What is 'Open Box Delivery'?,For certain products you can check the item at the time of delivery before making the payment.
Are the prices on the website final?,The final price includes GST. Any additional shipping charges will be shown before you pay.
How can I check the status of my return?,The status of your return request will be updated in the 'My Orders' section of your account.
What is the warranty on electronic products?,Most electronics come with a standard manufacturer's warranty usually between 1-2 years.
Can I order a product that is 'Coming Soon'?,Yes you can pre-order certain upcoming products to secure your unit for the first batch.
What is the estimated delivery time?,Delivery times vary by location and product. An estimated date is provided before you confirm your order.
How do I apply for a refund?,Initiate a return for your item from the 'My Orders' section. The refund will be processed upon successful return.
What is 'Flipkart Plus'?,Flipkart Plus is a loyalty program that offers benefits like free faster delivery early access to sales and more.
Can I use multiple coupon codes on a single order?,No only one coupon code can be applied per order.
What should I do if I receive a wrong item?,Please contact our support team immediately with your order details for a quick resolution.
Do you price match with other websites?,We strive to offer the best prices but we do not have an official price match policy.
